Seed_ID,Name
rxn01500,R_Mevalonate_NAD_plus__oxidoreductase_CoA_acetylating
rxn10253,isoheptadecanoyl_Diacylglycerol_kinase
rxn10221,anteisoheptadecanoyl_phosphatidate_cytidylyltransferase
rxn05451,12_methyl_tetra_decanoyl_ACP_acyl_carrier_protein_transferase
rxn00548,D_fructose_6_phosphate_D_erythrose_4_phosphate_lyase_adding_phosphate_acetyl_phosphate_forming
rxn02795,Glycochenodeoxycholate_amidohydrolase
rxn07876,R08087
rxn08851,Lysophospholipase_L2_2_acylglycerophosphoglycerol__n_C18_1
rxn02228,3_Mercaptolactate_NAD_plus__oxidoreductase
rxn01754,ATP_erythritol_4_phosphotransferase
rxn01390,ATP_L_xylulose_1_phosphotransferase
rxn02475,2_5_Diamino_6_hydroxy_4_5_phosphoribosylamino_pyrimidine_2_aminohydrolase
rxn05460,3_Oxooctodecanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn04132,R06063
rxn08813,Lysophospholipase_L1_2_acylglycerophosphoglycerol__n_C16_0_periplasm
rxn02576,ATP_viomycin_O_phosphotransferase
rxn07099,Penicillin_hydrolase
rxn05455,12_methyl_tridecanoyl_ACP_acyl_carrier_protein_transferase
rxn01333,sedoheptulose_7_phosphate_D_glyceraldehyde_3_phosphate_glyceronetransferase
rxn10257,anteisopentadecanoyl_Diacylglycerol_kinase
rxn06394,R03491
rxn04780,R06971
rxn09110,Phosphatidylglycerol_synthase_n_C14_1
rxn06012,acyl_CoA_sphingosine_N_acyltransferase
rxn02405,CTP_3_deoxy_D_manno_octulosonate_cytidylyltransferase
rxn02200,2_amino_4_hydroxy_6_hydroxymethyl_7_8_dihydropteridine_4_aminobenzoate_2_amino_4_hydroxydihydropteridine_6_methenyltransferase
rxn10323,anteisopentadecanoyl_lipoteichoic_acid_synthesis_n24__unlinked__D_alanine_substituted
rxn07108,acyl_CoA_sphingosine_N_acyltransferase
rxn03378,Se_Adenosylselenohomocysteine_hydrolase
rxn10296,anteisopentadecanoyl_lipoteichoic_acid_synthesis_n24__linked__unsubstituted
rxn05060,2_hydroxybiphenyl_2_sulfinate_sulfohydrolase
rxn03273,3_Ketolactose_galactohydrolase
rxn05393,9_methyl_3_oxo_decanoyl_ACP_NADP_plus__oxidoreductase
rxn01864,4_aminobenzoate_NADPH_oxygen_oxidoreductase_1_hydroxylating__decarboxylating
rxn10293,anteisoheptadecanoyl_lipoteichoic_acid_synthesis_n24__linked__unsubstituted
rxn00559,D_mannose_6_phosphate_aldose_ketose_isomerase
rxn01109,beta_D_Glucose_NADP_plus__1_oxoreductase
rxn08848,Lysophospholipase_L2_2_acylglycerophosphoglycerol__n_C16_0
rxn10194,Teichoic_acid_unsubstituted_export
rxn08840,Lysophospholipase_L2_2_acylglycerophosphoethanolamine__n_C14_1
rxn00770,ATP_D_ribose_5_phosphate_diphosphotransferase
rxn02318,D_Galactose_6_phosphate_ketol_isomerase
rxn08806,Lysophospholipase_L1_2_acylglycerophosphoethanolamine__n_C16_0_periplasm
rxn05436,10_methyl_trans_dodec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn06197,ATP_protein_L_histidine_Npi_phosphotransferase
rxn05504,arsenobetaine_transport_in_via_ABC_system
rxn07454,Z_phenylacetaldehyde_oxime_hydro_lyase
rxn00181,ATP_L_glutamate_1_phosphotransferase
rxn10303,isotetradecanoyl_lipoteichoic_acid_synthesis_n24__linked__glucose_substituted
rxn03136,1_5_Phosphoribosyl_5_amino_4_N_succinocarboxamide_imidazole_AMP_lyase
rxn00222,cellobiose_glucohydrolase
rxn02937,2_Formamido_N1_5_phosphoribosylacetamidine_cyclo_ligase_ADP_forming
rxn08810,Lysophospholipase_L1_2_acylglycerophosphoglycerol__n_C12_0_periplasm
rxn03467,R05117
rxn03137,10_Formyltetrahydrofolate_5_phosphoribosyl_5_amino_4_imidazolecarboxamide_formyltransferase
rxn08818,Lysophospholipase_L2_2_acylglycerophosphotidate__n_C14_0
rxn06750,R04632
rxn11599,R04318
rxn02107,salicylaldehyde_NAD_plus__oxidoreductase
rxn05379,12_methyl_tetra_decanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn04954,5_methyltetrahydrofolate_NAD_plus__oxidoreductase
rxn05441,9_methyl_trans_dec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn03365,R04916
rxn05454,15_methyl_hexa_decanoyl_ACP_acyl_carrier_protein_transferase
rxn01461,L_Arginine_4_aminobutanoate_amidinotransferase
rxn04908,trichloroethanol_NAD_plus__oxidoreductase
rxn05824,Acyl_CoA_hydrolase
rxn06160,Acyl_CoA_retinol_O_acyltransferase
rxn05445,4_methyl_trans_pent_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn07493,R07678
rxn05449,12_methyl_trans_tridec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn06870,Protein_L_serine_epimerase
rxn06735,CMP_N_acetylneuraminate_alpha_N_acetylneuraminyl_2_3_beta_D_galactoside_alpha_2_8_N_acetylneuraminyltransferase
rxn10191,D_alanine_polyphosphoribitol_ligase
rxn00773,ADP_D_ribose_5_phosphate_adenylyltransferase
rxn12642,RXN0_6978c
rxn10295,isopentadecanoyl_lipoteichoic_acid_synthesis_n24__linked__unsubstituted
rxn07673,hydroxycinnamoyl_CoA_anthocyanidin_3_5_diglucoside_5_O_glucoside_6_O_hydroxycinnamoyltransferase
rxn00785,D_Fructose_6_phosphate_D_glyceraldehyde_3_phosphate_glycolaldehyde_transferase
rxn03084,5_Phosphoribosylformylglycinamide_L_glutamine_amido_ligase_ADP_forming
rxn06600,S_aminomethyldihydrolipoylprotein_6S_tetrahydrofolate_aminomethyltransferase_ammonia_forming
rxn06728,CMP_N_acetylneuraminate_alpha_N_acetylneuraminyl_2_3_beta_D_galactoside_alpha_2_8_N_acetylneuraminyltransferase
rxn08808,Lysophospholipase_L1_2_acylglycerophosphoethanolamine__n_C18_0_periplasm
rxn00558,D_glucose_6_phosphate_aldose_ketose_isomerase
rxn12635,RXN0_6974c
rxn04726,1_hydroxymethylnaphthalene_NAD_plus__oxidoreductase
rxn07841,2_Isopentenyl_diphosphate_ATP_delta2_isopentenyltransferase
rxn05328,Hexadecanoyl_acyl_carrier_protein_malonyl_CoA_C_acyltransferasedecarboxylating__oxoacyl__and_enoyl_reducing
rxn11834,2_phenyl_1_3_propanediol_monocarbamate_NAD_plus__oxidoreductase
rxn05323,Tetradecanoyl_acyl_carrier_protein_malonyl_CoA_C_acyltransferasedecarboxylating__oxoacyl__and_enoyl_reducing
rxn05192,Crotono_betaine_ABC_transport
rxn03002,S_Methyl_3_phospho_1_thio_D_glycerate_phosphohydrolase
rxn00314,N2_D_1_carboxylethyl_L_lysine_NADP_plus__oxidoreductase_L_lysine_forming
rxn14138,Propanoyl_CoA_acetyl_CoA_C_acyltransferase
rxn10306,isohexadecanoyl_lipoteichoic_acid_synthesis_n24__linked__glucose_substituted
rxn08805,Lysophospholipase_L1_2_acylglycerophosphoethanolamine__n_C14_1_periplasm
rxn02391,Lysolecithin_2_3_acylmutase
rxn05438,14_methyl_trans_hexa_dec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn10301,isoheptadecanoyl_lipoteichoic_acid_synthesis_n24__linked__glucose_substituted
rxn01816,R02508
rxn06322,ADP_alpha_D_aldose_1_phosphate_adenylyltransferase
rxn10223,isopentadecanoyl_phosphatidate_cytidylyltransferase
rxn00742,L_cystathionine_cysteine_lyase_deaminating_2_oxobutanoate_forming
rxn04658,RXN_5183c
rxn10260,anteisoheptadecanoyl_CDPdiacylglycerol_sn_glycerol_3_phosphate_3_phosphatidyltransferase
rxn10319,isoheptadecanoyl_lipoteichoic_acid_synthesis_n24__unlinked__D_alanine_substituted
rxn03915,2_formylbenzoate_NAD_plus__oxidoreductase
rxn09109,Phosphatidylglycerol_synthase_n_C14_0
rxn07056,R06134
